"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
6310,2080,0,2165,64680,1300,1200,1800,320,7512,3700
1800,988,4400,5940,37836,222,4098,3600,0,8682,7500
23400,0,0,7610,55440,7197,13560,4200,0,22374,10000
0,1560,2340,2350,11532,15,0,0,0,2022,0
600,474,0,1260,15024,12960,2280,300,0,12456,1000
300,0,0,1490,25170,1300,9600,900,0,3336,1700
600,870,0,2385,13200,520,1800,480,0,2970,0
4380,720,1560,5380,13596,9310,8808,1380,1150,6642,5000
1130,0,0,500,8760,900,2160,180,0,2532,2000
102265,240,1560,1756,7620,366,2280,780,100,3768,0
2025,0,1820,255,15678,715,1320,564,200,4020,1500
12645,0,0,12740,29292,640,9942,8694,600,10494,5000
10380,0,0,7995,34446,1494,7062,3600,575,30114,10500
6180,2132,0,14925,13800,221,10080,1200,350,5874,4000
2025,4420,0,4385,10722,0,2640,1080,690,2934,0
0,210,1872,4360,18228,470,2040,1110,0,4614,5000
600,0,0,1430,16002,0,540,840,0,3750,0
1825,1430,520,5935,18756,60,3600,540,0,3054,0
1295,910,1352,3400,9900,125,1440,330,60,3792,0
6290,0,0,3610,14370,900,2520,480,1930,6606,0
1950,222,0,160,13218,210,4950,780,0,4050,0
1200,1000,0,3920,21894,215,4560,858,0,7932,2000
565,870,1326,4410,18366,325,2520,300,229,4260,1000
0,0,0,700,12210,60,1320,210,0,3042,0
0,0,0,400,14100,1100,1200,90,0,1782,0
1660,715,0,1800,24810,290,3840,570,375,4434,0
10420,1388,620,1370,31140,0,2400,720,2700,6966,2000
2225,1755,910,1335,29220,50,3120,900,520,5952,0
2590,270,6730,1330,14040,0,1140,690,600,3018,0
0,276,0,570,10320,130,480,360,0,2262,0
4050,90,210,1710,32622,70,1680,900,0,3198,0
565,315,880,810,12708,210,1080,660,0,3336,0
730,0,785,1730,15420,50,3480,450,0,3180,0
4450,270,0,1240,18300,160,1560,300,530,2730,0
5580,270,0,1360,14220,24,840,360,500,1830,0
0,546,0,450,9360,35,900,300,0,1638,0
5580,655,0,1770,12600,109,1920,1440,300,2136,0
0,0,260,880,9576,330,2280,0,0,1872,0
1860,1320,0,1410,12360,1088,2400,510,870,3816,0
0,0,0,260,12060,1680,1440,1050,0,1338,0
2660,0,520,2435,42120,900,5136,900,2750,10698,0
0,270,0,200,9300,50,600,60,0,1158,0
730,520,3750,1110,11490,332,1350,420,0,2352,0
0,270,0,960,9648,55,1680,300,0,2832,0
2025,420,0,770,21420,0,1140,252,370,2718,0
1130,2535,234,2850,25782,0,3528,870,200,28320,0
2225,0,0,1250,18000,35,5040,660,600,4050,0
7940,750,0,610,19158,150,3420,960,15026,5718,1000
0,0,0,3370,21492,1200,1440,0,0,4938,0
6640,0,0,1000,23640,920,9960,1140,1800,11418,3100
565,1180,0,2385,15600,100,2040,1260,350,7254,1500
3320,0,0,1040,13080,130,3360,750,520,4614,700
6970,870,494,1970,19404,620,3762,960,12300,13620,2500
5025,1211,0,4450,27420,170,2322,810,1110,11466,0
7390,0,5068,2730,42420,130,4140,1200,560,12180,6000
3685,0,0,1550,21918,109,3048,720,2410,5874,2500
3000,1865,1986,4330,29736,3350,9528,1560,0,7650,4000
8044,4368,1040,1940,54726,1560,29514,2040,650,19290,4000
730,2072,1326,1265,14994,60,2400,420,260,5550,500
0,1104,520,460,46080,0,1080,1320,0,3138,2000
0,940,0,2020,12606,1005,2304,300,0,4416,500
0,270,0,430,21780,2925,3042,840,0,9480,0
7770,1495,5068,2575,22920,50,8940,1020,3030,9252,4000
2850,1950,0,640,10800,75,2640,120,470,4014,500
12700,2900,12,920,35580,3600,11640,12300,0,53028,0
8605,1938,270,2170,22998,5760,3840,1560,235,7158,1000
5520,2341,3640,1720,5226,438,7440,996,500,1644,1300
15880,0,0,4946,22740,398,17400,14880,475,9348,5300
780,0,0,2248,12468,3625,9780,816,0,5934,500
1820,0,0,1490,10434,4429,402,0,0,1428,500
600,3224,4420,1685,16824,106197,1692,0,0,984,37400
4800,190,6240,1603,16446,253,1188,468,623,2430,2000
