"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
1030,0,0,1035,10464,346,900,0,0,1230,0
3760,240,0,2520,14670,3491,7128,2040,1456,3306,0
0,4290,2034,1898,15990,1070,1860,936,0,2850,420
4180,0,0,5936,35166,9538,1500,4320,2491,7794,5500
7260,0,1629,7053,19914,172,5598,4146,4980,5484,0
2745,0,0,2104,20340,2455,1410,1704,2485,2580,0
3900,1170,1170,2785,12900,1021,1800,900,0,1716,0
9075,0,0,900,13560,236,2076,0,0,1950,0
1830,0,0,3067,13452,1196,13818,126,680,5328,1500
915,480,0,2650,22758,734,5652,1578,1880,2646,1500
925,0,0,310,25650,26242,1200,510,450,4170,0
1490,480,0,2018,9780,1635,5598,276,1370,3942,0
7876,360,0,6330,25920,2564,8040,2340,1380,17322,1500
14890,2080,0,2760,19416,3146,8040,2154,11990,4122,2000
4850,0,0,3128,10530,920,14280,1590,1585,2526,0
2825,0,3328,1940,9660,456,10332,894,830,2268,0
1230,3140,0,3975,9012,448,10644,1152,490,4500,0
5490,1480,0,2900,16440,256,7278,828,1150,2580,1700
1258,5240,1920,2145,16872,296,9000,1140,345,3444,0
550,2340,4180,1940,9690,380,5280,552,350,1440,0
420,5940,0,1330,8070,228,5280,1518,0,1098,0
1500,0,0,2495,10770,730,11166,552,740,2130,0
270,0,0,2730,10950,60560,4200,756,0,1116,0
1900,0,3640,2180,9750,330,4080,552,875,1572,0
1400,1080,1800,3025,11160,976,4200,1188,1360,2958,0
1320,8740,0,4420,11010,1809,5040,480,680,1836,0
3510,1140,684,4490,13890,338,10446,1170,1566,4680,1500
540,0,0,1920,9090,168,3120,792,0,1512,0
490,0,0,7870,13602,15966,29070,1794,6000,3480,0
950,0,0,1860,17748,7942,6780,966,705,1242,0
2000,2860,2080,3405,15042,195,7026,1920,1070,6840,2000
500,2620,0,1640,28326,2670,3114,810,0,1932,0
9875,5330,468,2805,14034,1142,3240,1230,20280,3882,3000
9050,0,0,1150,14436,3265,840,0,0,1560,0
525,1130,520,1240,5556,256,228,0,0,234,0
5970,1528,0,3445,21300,1105,2250,1932,10550,5940,3210
1440,1980,4163,2333,23070,390,4452,414,250,3930,1500
240,5096,1810,1050,8592,170,1800,882,0,2388,2200
14560,7111,17376,3740,13320,100,9546,3780,22750,7494,1500
4050,3600,3620,830,34980,938,2922,3540,29000,5976,14000
2620,196,724,6840,13644,42473,7218,1380,2055,4932,1000
743,2353,3258,2795,8520,37,600,636,2130,3282,0
12722,588,0,11174,26640,1580,7200,4398,678,6462,52000
1990,1002,905,2000,12954,6690,3078,1080,8000,3672,0
7400,2340,0,3235,23850,39475,7470,522,930,6582,6200
3240,3276,2353,4204,9582,355,3240,828,2425,6432,2000
180,0,0,1250,13500,4062,1200,0,0,3702,600
600,1170,0,8015,12648,3940,6576,762,11302,6708,6000
6410,5684,9955,5200,7080,180,7038,516,1100,3708,0
7727,9100,12670,10940,17130,190,7800,3384,2974,5814,3000
1100,2340,5430,11504,7278,20559,18132,13290,23855,14520,500
3350,1310,0,6855,17040,1026,1182,4176,1750,4386,200
1540,0,0,5360,11730,690,7008,1554,650,5394,500
0,2340,2652,3400,12726,2518,3102,1248,570,2460,740
1350,0,2444,7855,13908,303,5712,2400,0,3774,250
9300,5460,0,16479,23268,4478,13824,11562,1935,37542,1200
0,0,0,2115,11610,548,9120,0,0,2004,0
0,601,3212,1440,7122,37,420,0,0,1230,500
1180,135,360,4400,10212,1780,11088,1974,2063,5100,100
850,1710,905,4590,8820,1355,11016,1356,12520,3246,445
1050,4576,0,13695,9450,2944,9606,1842,5130,5580,1000
4120,3770,0,10740,11730,50670,4536,1950,0,3162,675
1635,0,240,790,4938,240,900,168,1390,2052,0
0,0,0,135,5562,415,102,0,0,966,0
1090,270,0,5040,9978,1856,4014,744,2875,4728,500
1330,1476,21720,7207,24810,6648,15288,2400,5000,3354,0
1010,4010,2896,4789,26892,218,4266,498,1710,3330,0
5800,5070,10860,6779,27090,25270,7230,180,2230,6126,4500
6400,2054,1810,5685,29424,109,13602,900,3510,4536,0
220,1092,0,3275,14460,3279,1440,594,1200,3366,800
9760,0,0,4870,23472,1018,4230,4080,14833,6288,2000
7390,7007,0,1605,10146,2785,3120,1290,3290,4110,0
10250,0,0,5285,13104,4140,5994,516,2415,5292,0
14400,4836,13213,3995,38640,553,21768,5400,13710,20802,1500
4860,4820,724,17180,63360,3905,14010,3840,1300,24942,22000
13043,450,543,4519,22428,495,8976,1644,608,6726,1100
5040,0,0,2193,34026,595,3642,2034,0,11670,500
18600,2710,5430,10115,29532,4220,4236,4398,9000,15888,6500
47340,1800,0,10704,36222,4794,56220,4836,0,30744,11000
26184,0,0,4280,47700,706,10482,3480,5400,12720,3000
7250,5260,3620,2310,97734,290,9024,7932,4140,16464,7000
14298,1380,14933,5429,46002,6560,4440,3282,150,17112,6000
28150,0,9955,10227,72060,8719,19836,7602,3196,16878,1600
9890,7400,0,4447,36450,5404,3342,3432,12675,11214,950
15510,5094,0,7730,49554,1899,14892,5064,8160,12480,3000
6030,474,13575,6765,29700,1767,8022,6030,530,8046,2000
44730,1257,0,31612,80112,13954,29340,10662,7976,23706,8000
17400,5590,3168,11855,85770,666,11592,2100,8660,10932,2500
22214,240,0,7413,78648,11885,33534,25506,6950,17610,2000
19070,0,0,4864,95118,447,222204,57600,410000,28764,3000
4500,720,0,11250,193344,2413,74628,38400,0,19728,7000
8126,1345,780,14495,50784,5092,12720,5520,33000,32232,5200
5200,2570,8385,4110,18018,1110,2784,0,0,4128,0
15705,3780,16168,10165,27300,2070,40152,10764,1580,9240,0
21660,7055,0,32004,50010,35504,11442,9360,0,22644,2500
3720,900,9955,10189,25980,2513,16098,990,1170,15324,1000
20100,10205,10860,4083,20700,6628,10392,720,1848,15858,500
15040,3485,0,29916,23100,1812,13914,5994,0,12954,3200
13125,0,0,14235,33750,2160,8016,3480,20900,5538,0
34800,2760,0,15810,51792,4910,13080,4320,8280,34260,0
9360,0,0,25511,61080,17122,50640,8700,0,20682,0
36470,3080,0,30323,73758,10490,35436,9900,0,45960,11200
8005,642,6210,2206,12540,8346,1248,900,0,2118,0
25540,2340,0,18251,41352,5342,19656,7680,8939,20154,5000
46000,950,0,12649,62760,3980,24420,11700,19100,16398,2500
22800,975,0,7925,61920,926,11568,2976,6450,17292,4500
4440,228,2172,3023,30936,399,7704,450,500,4362,1500
6000,0,0,25591,230760,4310,34902,29988,0,27630,0
12240,1860,0,27297,125106,1158,10158,4140,20150,36318,10000
9780,0,0,4036,41550,2450,3744,6780,15030,34482,2000
52962,0,0,2595,30468,932,15390,6300,0,9828,0
0,0,0,559,17550,716,288,0,0,2082,0
10520,3150,1664,10467,192966,15370,11088,7980,0,14292,2000
61450,0,0,12280,58944,7721,8736,13320,21500,19758,0
7621,0,0,11530,161580,3652,28584,17298,13818,12090,16800
42000,1388,2111,57098,152478,9291,81630,37050,0,115986,19000
40697,3900,5792,10000,62208,12275,8622,4800,40250,16224,2000
16400,0,0,15150,138330,380,9582,9594,8900,32778,2000
22340,616,0,7425,143982,2585,40248,3600,8500,21096,11000
22600,250,0,10575,106488,180,16812,22674,12500,44994,4500
13600,0,0,24258,172500,330,11280,11394,0,41736,1000
26225,0,0,8854,42924,3648,5844,3600,8800,11652,3300
17500,1784,0,12990,88860,1520,48432,13200,1335,37560,13000
27610,2262,0,9805,122772,9840,19926,7362,5200,26850,15500
6180,570,0,6822,48648,8085,9984,2838,0,12984,2500
10810,498,0,9753,50550,3758,15138,3840,14650,15108,600
28190,1350,0,5972,133278,4398,24390,7902,19800,35358,21300
54800,2158,0,37085,30498,1479,17982,22362,2060,56562,11300
1100,420,11991,6880,167040,10660,18474,2520,0,11796,0
1678,0,0,2150,78804,19842,1992,1140,0,4050,0
13100,88,0,4265,34230,2347,8184,516,8600,12786,0
29000,0,0,59972,160308,6505,15924,4698,1940,69852,29000
2990,990,8688,10935,10812,34260,3756,1764,720,6828,1700
7275,1470,0,8795,47370,3914,2424,390,2140,8502,3700
4251,520,0,9613,43458,957,17952,4260,5530,11814,4500
0,0,0,420,13926,148,2256,462,0,966,300
4930,0,0,1585,44190,130,8634,2004,780,5478,3300
30700,4920,0,13485,87150,2673,17508,6150,30500,16944,6300
0,4074,14842,1215,31188,84,3816,582,1000,3096,600
50100,1404,0,35707,231120,72889,42156,33000,56200,120150,23000
4550,3660,6136,6665,66060,30965,11412,4086,7100,10698,14500
3054,258,2908,2360,22878,809,31032,1752,0,6888,0
2638,4576,4420,5020,25476,1320,8832,1506,1510,2706,2500
6100,0,0,7678,41502,193,11544,2604,0,4764,3700
2816,0,0,705,30018,5625,6144,354,225,3840,1300
9700,1040,9050,3190,59796,86,9222,2898,825,7452,3800
0,240,5430,832,27600,1284,648,156,0,2412,500
15220,56,0,14080,62700,2489,15618,8520,4350,61776,6000
16060,540,0,5253,32130,120,2004,714,0,2802,1200
15385,228,0,330,31800,3219,5742,0,0,1890,0
7200,910,0,1445,29292,988,15408,1032,2080,4128,1600
12300,75,0,2385,38082,388,12576,1248,9150,8976,800
15100,0,6335,2742,48168,540,6852,1260,4300,6978,1300
10800,0,0,3115,43710,6988,31344,1332,0,17880,2100
4350,0,0,2352,38880,420,6270,960,3907,8916,2800
9000,0,0,10149,166446,51574,9600,21786,0,40092,10000
13990,222,5430,4165,45156,5582,4608,3600,0,19746,1000
2600,0,0,1035,37170,32130,798,0,0,9762,1000
13550,0,1629,925,41310,793,4296,2454,17350,7932,5000
12929,1470,0,24308,52410,1220,12672,9000,1570,29502,31700
10630,1178,5305,4175,28404,2160,21312,5562,2160,22170,3800
1900,1950,20750,1991,45618,536,5724,3780,3000,16440,1000
2330,3396,0,8946,23580,2244,774,480,400,6726,2090
7793,295,6516,2913,33660,2429,2928,1380,1300,19458,8500
16450,750,0,4020,23088,954,2010,960,1500,8814,500
20415,1530,4760,2345,37680,1196,1680,588,465,6000,0
3660,2385,9955,7072,43722,3292,14946,1884,1054,14004,5000
45200,390,0,32790,149130,5008,42012,26460,0,114096,8000
10860,0,0,14930,70800,16572,14022,11760,0,28404,2000
14480,3302,8145,4900,22476,35,5004,3300,0,12762,3000
15700,0,0,5305,54402,7380,6858,6600,8600,18900,3500
780,1942,4680,2130,12438,90,720,0,0,6960,1200
13500,270,1040,735,28560,60,5640,960,500,6174,2000
5430,6630,0,3490,44718,1178,6942,3900,0,7452,2500
12280,605,1453,8021,43020,520,3960,4800,1309,5298,8900
720,160,0,4928,51492,1057,3600,2520,0,4278,600
11250,0,0,3318,27708,216,4560,3384,7850,3726,550
127608,200,1901,67808,202110,4205,43140,44502,131500,31326,23000
99550,145,0,11510,77460,3300,1062,2154,0,19956,1000
47000,2460,0,41460,159000,2613,68802,6600,12700,24318,100000
83600,0,0,23290,76848,672,74700,6000,17000,45252,7000
3930,550,0,3595,14412,73,2310,3618,11885,3534,150
3560,270,1810,11847,28080,956,4272,2208,0,4578,0
3585,0,880,2619,16470,65,5958,324,2970,1938,0
42120,210,0,23710,260838,6448,100290,35454,43750,47520,1000
3940,1930,4818,12815,36408,136,36450,8004,13010,16134,750
13190,0,0,3775,25446,26,12168,2496,11658,15426,0
260,270,0,7350,26130,33005,27030,3120,0,12912,700
250,0,0,1490,10620,5370,3360,0,0,1650,200
120,0,0,2370,9162,2056,5640,0,0,2568,0
0,855,0,980,14940,2415,2280,0,0,1962,300
120,3840,3102,3600,11148,1150,9120,1092,0,3006,0
11744,0,8600,2540,7386,2990,3930,720,5300,3114,40000
1900,290,2715,920,10560,50,2400,258,0,2010,1000
1480,1600,0,1895,9714,300,2250,78,400,2880,500
4544,0,2604,715,10758,60,1200,168,0,1860,200
2850,760,6335,1090,10704,75,1200,258,400,2724,2000
0,0,0,100,4800,20,1200,0,0,306,300
3325,0,120,325,6066,335,1200,138,550,2304,700
7575,300,9830,2015,9282,267,960,396,1500,2802,1000
3295,390,4344,2915,18930,180,3000,438,0,5958,3000
3600,270,0,2630,17604,864,5214,2160,1500,11076,2500
3310,0,52,3885,14040,1096,1260,228,0,1476,2000
700,0,7602,995,5430,300,1260,312,0,2238,500
4700,61,7500,9905,20754,720,12414,900,200,17562,5000
3645,300,0,1970,14820,140,2880,0,400,3594,5000
300,0,0,775,8886,1500,3120,228,12000,3552,3000
2042,1233,7684,1700,13008,100,1200,198,0,2076,200
105,0,0,1319,9600,2865,6240,1440,0,1548,0
600,0,0,1005,13590,340,2040,180,0,2400,1000
540,0,0,915,8700,24475,1956,180,0,26340,14900
6300,270,6350,9375,10866,1696,1440,180,113,6912,1300
910,1278,4660,2095,32868,15133,9702,420,1070,10050,0
60,0,0,1635,22830,640,3984,210,0,3420,2300
7300,1343,8326,3085,14532,67,2802,816,1320,5604,300
1320,836,1810,5825,17040,572,5904,276,1940,14460,800
1100,18628,1596,3500,13446,221,222,0,446,3666,2000
0,0,0,790,21054,305,1920,354,0,1992,500
1695,758,3900,4065,18468,554,1332,780,395,3786,0
6200,720,8145,3645,22050,449,4536,1308,2690,11334,0
5680,1875,7264,3690,24504,5630,9024,1890,830,13218,0
89680,2000,0,4392,27768,1125,5898,1080,1115,5568,3000
29500,490,20845,9700,36240,634,3540,732,2140,12960,200
3480,0,0,7890,39222,120,1398,630,2470,4356,0
5160,860,0,3535,26190,1750,13158,1434,14190,11892,5150
15225,217,1270,3518,20340,4013,9750,1320,2060,13056,1000
6560,2550,4338,1185,21690,556,12240,1200,4495,8346,1000
6614,120,0,2510,11040,5070,4710,600,1010,9360,0
21903,832,0,14395,53424,12436,21438,4530,14495,16974,15000
9500,0,0,1120,52434,8090,4926,180,0,5550,80000
22640,0,0,5535,32550,2174,5562,1500,4025,15360,800
22350,0,0,11813,71424,4538,13770,13140,78400,37884,60000
3320,0,1086,8970,14076,2084,8400,882,0,10296,1000
1430,1620,3986,3635,8274,164,6786,1950,2250,2496,0
500,0,0,525,27930,165,14214,912,0,8802,0
37329,660,0,4680,24960,11700,11136,4194,7588,15006,0
5960,0,0,1900,25890,425,15216,1200,5780,9096,1500
21303,2080,0,6950,41010,4326,15852,3600,3605,12672,1500
1700,1530,4195,2541,9720,910,7242,678,15300,5670,1600
100,0,96,2850,18270,3115,7440,744,0,4002,1000
3625,0,0,4520,10338,4845,2460,780,1395,5400,1000
10850,0,0,11420,22620,5542,25200,1800,0,55338,12500
0,270,1720,1365,12420,480,1200,138,0,2364,0
5425,0,0,1675,13320,115,3750,744,800,4278,0
3460,0,0,2340,9600,588,7596,600,1250,5988,500
4850,560,0,5025,5934,2809,2400,738,1400,6912,4130
2600,0,5792,2620,11178,3215,18900,120,10780,2820,1000
7780,840,0,7596,22668,636,7872,2520,4390,32784,0
3700,0,1158,1380,9630,2203,5046,276,990,6870,0
0,0,0,315,5652,2302,1056,396,0,1176,0
80,0,432,250,5988,660,216,0,0,348,0
600,0,0,0,40986,17823,22800,0,0,6600,1600
0,0,450,835,40722,930,10632,1800,0,1506,6000
7310,0,0,21024,51144,5607,48876,1200,3170,12072,5000
7770,1601,0,14345,36390,6054,36720,3000,54286,27966,7660
1050,0,0,2320,19980,685,25800,396,24800,6534,4500
36500,5250,0,89150,159420,66659,458100,33600,5230,47922,34000
10110,0,0,2630,13050,200,19680,3720,1100,3450,700
3250,7355,2715,5055,37830,21607,18360,6300,1300,43524,12700
300,0,0,1340,7380,95,5280,0,0,4764,150
4382,0,0,4936,32820,893,17502,2580,18085,55932,2000
3830,1050,15385,6015,16566,90,2700,1560,465,5028,800
12000,1215,0,8666,16260,700,8940,2400,16250,7506,3000
5970,1380,13032,5610,11478,640,1200,1800,760,5322,4500
8000,2390,13032,7650,15990,165,9120,1032,1318,7404,4000
3590,1050,0,570,9156,150,900,0,440,4584,500
5440,990,0,14980,12108,370,16980,1500,1380,3930,1900
1600,1770,3620,4745,14130,70,4320,960,0,7368,16000
7900,0,0,2500,17940,350,5100,1170,2950,5004,500
10225,0,7240,1570,16752,150,3792,840,6520,4674,950
7750,0,0,2410,13380,16322,6882,1668,2642,9948,1500
1820,0,0,1800,8490,1780,7836,1680,1180,4716,500
5840,8685,4030,3243,7560,715,10200,0,2590,4386,500
200,0,0,800,18780,6604,2400,594,0,1206,5000
1255,875,543,3135,18186,580,6600,2424,785,3006,12000
1900,365,1560,3048,9198,470,6000,750,975,3708,1200
4400,408,0,2615,12240,180,4920,492,885,3042,1000
8350,290,0,1850,13260,9295,13278,1560,2130,5136,3000
12050,0,0,3546,20580,604,12300,2100,2700,8250,3000
9100,0,0,1520,13362,1710,4200,1014,9500,4416,500
3600,0,0,0,13992,650,1146,0,0,642,500
34456,120,741,1010,10578,18,240,0,0,1644,1000
27000,360,2539,11225,69504,4250,9438,2802,22000,18108,19400
1725,0,2896,9650,22494,822,4542,1044,1395,5664,2500
1830,300,7240,550,5580,180,1980,0,1150,1770,1700
1810,100,7240,950,4020,90,4980,300,1000,1890,200
0,252,0,1020,16128,590,5100,456,0,3168,1000
2560,0,0,1030,6558,440,1002,900,1185,3666,300
0,335,0,100,8448,300,4902,0,0,1068,1000
3660,0,0,1950,8316,200,1500,660,1520,1632,500
0,180,3755,800,6120,425,2040,0,0,3462,500
1465,0,0,3525,19794,420,15300,2040,1160,11064,5000
100,0,0,510,17838,584,6900,120,0,3234,1500
915,0,0,1235,9588,420,2982,300,760,1896,500
0,1040,312,2170,6000,340,6960,1260,0,1860,1600
7060,300,13213,1760,9450,425,11040,2700,8520,2844,1500
0,0,390,650,4650,270,6300,0,0,480,0
16980,0,0,3485,6420,50,6600,396,2460,2004,200
0,0,2600,3905,5310,115,1200,0,0,2052,0
1465,100,5565,975,6480,255,4200,0,1360,2706,300
4200,0,780,1500,4920,180,3150,0,1560,1992,0
10860,32,0,1710,5640,839,4002,300,0,4134,600
0,0,520,1275,4560,395,600,0,0,1188,0
8600,180,780,590,5280,290,3918,0,2100,1500,0
2880,2210,12670,2220,15570,1874,2262,138,4500,4734,1600
2640,0,0,1756,10518,235,2160,456,1750,3144,880
5900,540,7245,3275,16200,489,6906,2742,1600,7776,2500
600,0,4500,870,7740,278,720,0,870,1392,620
610,0,0,550,9030,63,720,0,200,720,400
1520,100,910,340,9030,108,1662,756,16500,1908,800
6915,0,0,1310,10650,360,2160,276,620,3042,400
1520,0,1629,3155,19590,546,6810,1056,0,4644,4500
150,270,0,1680,15492,450,840,384,0,3720,1200
515,400,700,1010,8526,193,480,258,100,2712,350
2775,0,0,965,9492,98,720,486,810,4920,1700
14370,280,10860,6850,134460,23814,24090,20076,0,59826,2800
52980,2730,10860,9250,117120,6170,25812,18156,455,34764,3500
19680,0,0,850,19530,813,2448,3336,1170,15756,500
17273,1262,2646,4950,93612,3234,28734,7818,2080,23316,2200
44900,910,0,6950,51654,28918,18324,15876,0,25974,4500
40000,0,0,20240,88164,3200,17472,16098,58954,49050,480
65698,736,10860,16494,103560,23820,49968,38646,120100,77460,65700
61546,297,8507,9570,65622,212,14748,13248,1080,14700,10500
13430,180,1040,250,41466,30370,2496,1818,0,4356,0
1000,0,0,1240,69456,270,1386,7944,0,3258,0
38000,1515,1300,14890,88158,4439,19968,14196,37000,20250,2000
55200,2520,1560,34520,225420,16115,35694,19296,104250,39762,8000
34550,0,0,12030,128340,572400,13986,21000,0,26274,7000
16380,1101,8326,8170,72060,13320,13368,6756,900,20550,0
23140,510,3932,3180,27936,22900,8736,2730,0,5718,0
18314,990,3732,20170,207540,36950,15216,17700,15770,16134,14000
57226,4290,2715,22465,79320,19825,19386,10320,50000,34710,0
26300,0,0,6395,52428,16200,16536,10500,0,18546,0
21233,1106,1820,2600,62820,10276,11712,9042,3740,8574,0
5467,1300,1092,3905,75696,9142,17910,6132,2630,13050,0
46050,1554,6240,8880,37500,1590,19236,3744,0,18138,0
23340,1296,5430,5810,113100,6465,23310,5160,0,22836,0
33800,1020,1332,7800,61380,305,13506,5676,28000,12660,2900
25373,480,5096,9270,67980,1615,19746,7278,25283,18888,3500
27481,4800,1629,18150,89964,1720,22698,14796,53600,21990,0
17080,130,0,1600,65460,154,2136,1302,0,2454,0
31700,1030,14852,4485,47436,12190,35298,4800,0,30048,4000
73473,228,0,12810,69324,1974,48138,23730,40600,34620,0
1260,0,0,3920,147840,14516,2202,16800,0,4344,0
35200,1484,4348,5919,69810,190,11838,2592,0,17148,3000
27360,135,1810,4570,34980,210,7950,4884,1400,17430,2000
20500,72,7602,6600,117570,10125,9738,5598,72160,21444,8500
21600,380,15385,18772,114978,22572,65004,15198,0,32004,42000
19460,456,19910,16102,121926,7546,37062,6720,2000,29766,9000
51000,64,19910,32589,134964,51390,27204,14580,0,30024,5000
45292,0,0,52493,180300,13510,44802,25938,44250,45216,27500
10734,1964,16290,27413,94692,4599,24246,9900,1310,28836,5000
8400,2164,7240,6710,30858,2905,9414,4158,0,11454,6000
8240,5824,12670,4035,42066,956,8310,1560,0,7668,8700
11264,480,16244,13460,56460,4917,35058,16902,2780,32526,7000
540,584,6335,1205,23880,1221,4452,2592,0,5568,500
6620,0,0,8655,65310,19428,2400,3114,1110,16104,13950
9033,444,0,6380,26730,1858,10608,6234,1450,16560,2300
6600,1924,2184,2700,25578,879,3960,2598,530,11652,2000
31877,2472,13418,50094,274542,23082,60564,30360,71570,44322,33500
24000,0,10860,35785,221748,35838,42108,21600,0,36546,25000
3900,4328,1092,4365,29478,2899,4578,4104,540,9006,6000
14306,249,0,4575,94950,3334,6240,2370,3040,17736,2500
14700,1636,210,2240,69600,837,13026,18330,31800,13008,6800
16910,1110,0,2245,50430,8486,9984,4158,0,21054,5125
9680,910,1040,2055,56640,2041,4422,4212,4860,14016,5500
22680,3216,0,4800,85962,16959,13836,10002,0,19884,40275
12050,1074,1086,1625,35640,3889,7440,4158,0,16944,2000
24934,1040,7240,14280,72654,12914,8664,27078,5950,26604,13500
1400,0,168,1095,35880,9700,2478,7734,1070,4722,0
5480,0,6154,1280,54210,36177,4842,2118,0,5676,0
53540,15912,16290,8290,66990,2095,19818,13002,0,20400,8500
16081,360,2340,530,36042,1324,11160,7542,37480,15300,3200
32760,0,0,1595,141570,4310,0,0,0,2892,0
23598,1728,8688,9987,86460,7738,26466,5694,750,41574,2800
8448,1524,22625,9385,58860,21462,15234,5196,2350,22998,3800
13320,66,11403,4270,67980,14153,16116,6048,0,14928,500
6960,198,1629,2738,85200,27137,13584,1830,0,16848,400
6194,1416,3258,6483,41040,6045,18948,3768,0,15222,800
13400,3588,10860,5565,50664,668,25866,6240,600,27882,300
23240,3892,21720,11140,74412,9579,61620,3516,0,21636,4300
8380,3360,12680,6290,73512,9979,9696,5100,3090,14232,600
1240,386,5430,4914,43740,1066,21468,1830,0,13068,0
20790,1716,7240,9679,43704,283,6900,6498,2000,10398,0
24480,216,1629,3034,41688,1060,7956,2856,3320,9504,0
82200,426,0,27798,188340,6417,49692,28566,48100,35658,2000
3600,910,0,4360,55110,4504,9024,1122,3100,10986,0
3550,360,1872,520,26208,4606,600,1902,0,2526,0
5630,1994,6210,2750,30600,6577,12384,3114,0,12834,0
16680,0,1326,900,24984,24,3744,1122,0,3222,0
8466,3094,3068,4300,61680,1220,5724,3102,1400,9774,2500
11430,630,650,1940,42642,55,8460,3276,1100,6804,0
112800,248,9231,25890,213360,8638,80292,46632,168800,42750,10000
10347,210,4525,1895,46740,136,1980,2760,1050,7740,0
11116,420,0,3350,36900,770,9570,4998,25950,14964,0
6300,910,4525,1255,56436,762,3096,3240,100,8772,0
19900,0,0,700,19638,780,0,0,0,1128,0
33200,1125,7240,12645,65580,1845,9984,5460,0,31236,2000
21534,2188,1092,5950,73920,92,14898,10260,1000,32904,0
4033,0,0,2500,142080,2626,8994,12594,36200,12024,20000
800,2886,7331,1650,28560,830,2934,4212,800,4998,0
24300,0,10860,4450,60540,647,17778,7272,1150,18198,4300
27100,0,0,9235,110580,191229,39000,33540,0,27546,7000
23833,910,18462,5350,72360,8128,4848,13020,32900,16296,0
10900,0,4525,3550,54480,840,4434,3798,1400,7014,3000
1000,0,0,1600,51330,6449,2142,2718,0,1800,0
6900,0,6788,4850,71400,9580,2292,2760,0,9978,3000
21720,210,9955,910,25962,564,3000,870,1750,6204,0
0,0,1448,510,25194,530,2100,0,0,1782,0
28516,1588,0,8920,51060,26013,12480,8856,700,29592,500
59150,676,14480,6940,92820,596,18930,22488,29350,21114,35000
800,1524,9955,800,25254,72,6342,1638,2600,5124,0
7640,3580,520,3510,26022,360,4362,2286,850,8298,5000
1820,0,0,250,13788,75,1560,0,0,1584,0
0,0,0,3590,44880,66046,6138,1992,0,3468,0
8900,7059,12851,1880,24348,337,10080,2496,0,9186,0
18410,0,0,4980,22578,130,7488,2418,100,5784,0
40870,0,7240,14550,108600,56033,21990,18366,37000,28782,57000
28570,234,5430,735,18030,781,9306,2160,50,18066,1200
40520,0,0,4800,47130,20,15180,23688,21515,7410,15000
38410,0,0,1070,61800,4023,4632,9066,85300,21258,2000
4580,0,0,3470,20760,4259,1326,1170,0,4776,5000
14025,2886,2465,900,21954,1960,9636,1026,1500,10098,1000
43460,1308,11403,2720,17160,95,10074,2916,3300,10416,5500
12000,0,0,5750,329400,973700,31998,75000,0,75810,120000
15435,468,5430,970,53220,3229,2190,3072,0,3570,2000
25480,0,0,0,89100,9840,978,2604,0,3120,0
47400,666,2715,3330,50202,19606,13038,4314,4820,19560,1000
42300,510,2990,6755,44520,8280,71430,4086,900,23136,2000
14820,0,0,3260,30210,900,11232,1614,1350,13968,180
9040,0,18100,4960,121020,92000,60042,4014,0,26742,16600
17940,840,0,2250,52200,590,4200,2004,0,12426,7000
1980,930,780,4915,49260,27450,19164,7554,650,23796,18000
22418,0,0,15579,116040,10400,44778,10134,2660,26760,10800
19480,0,0,3180,47910,626,7734,1878,5905,7488,8000
17980,0,0,800,7200,122,13776,2106,11000,1560,0
2360,0,2715,790,20082,92,1200,0,0,1962,2500
25520,0,1128,11260,63000,1950,10800,6600,11755,20862,41000
14600,0,0,8600,82980,942,12840,8880,24500,9006,8000
16000,312,420,4650,37500,50,3804,1830,3000,6000,0
11700,0,0,10750,67080,2900,14184,8280,38000,27390,24500
16200,0,0,12530,64560,10524,11436,22878,30200,17244,4000
15990,1365,0,5370,27642,236,12216,2676,1730,10080,10000
10860,0,11946,5350,29082,23330,13572,10392,0,10572,5000
7860,0,0,900,34620,2175,4896,570,0,6144,0
10860,0,4344,700,14820,843,2616,702,0,8538,0
5300,1976,5520,7630,25620,70,4338,1092,400,5166,7000
2340,0,18281,1050,19980,420,6612,1608,0,7104,109500
5540,0,4344,1580,21990,6,1122,3954,11500,6966,12500
6140,0,0,2770,52080,11424,8292,6078,650,45084,0
34900,0,9050,3650,44340,11764,10536,3732,39500,11802,1500
300,455,21358,1600,19530,120,14034,4986,0,8040,12000
2650,3120,14480,2230,12492,480,1740,2130,0,8940,8500
4330,840,0,9485,42942,14245,14640,10290,320,20502,6000
600,0,0,1000,33960,788,7158,1560,0,4830,20000
7680,0,240,1900,37398,10954,10650,4452,0,30198,0
800,0,0,1050,15558,6188,2412,624,0,3450,8000
5960,126,6154,560,16098,120,918,312,0,4854,0
0,0,0,16849,38520,192,5862,11394,96040,28374,9000
13800,1820,480,9630,55800,20558,45684,8490,13000,26136,68800
1500,3744,0,5920,72930,27,900,4002,0,4524,29000
0,720,10860,3156,37260,38466,10500,1428,0,18828,22500
9040,390,0,980,26100,25,4476,2442,0,12438,17000
2800,660,20272,2400,37350,1747,10002,6792,0,12126,10000
27060,0,14480,8400,29820,3050,24162,3924,32000,10854,20000
