"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
76223,31308,17075,9429,7522,730,2124
52500,19067,16635,7116,4726,636,1641
80947,36771,35130,6244,5781,898,3268
73333,38362,35076,6668,5156,340,2348
43272,16827,13172,2396,2969,346,1736
85103,50498,47520,7936,3813,489,2281
16233,6974,6497,787,499,229,540
34923,21419,20419,2930,3406,536,1495
18634,9268,7953,2526,2031,472,517
52551,30596,27030,3880,4446,342,2152
35890,15894,14267,3714,2880,120,883
39020,19396,17688,2750,3617,1054,1412
22363,11674,11230,1073,2810,378,2048
24620,13044,11892,1951,4155,436,1159
54690,33188,31100,2590,7353,1208,975
53970,24808,22933,4164,3735,661,1432
54644,22379,19814,10504,7162,1086,1254
41793,20536,19240,4500,4536,600,1957
18516,7866,7220,1870,2050,389,967
20836,9009,8420,1430,4646,726,622
80677,39166,36177,7890,6363,983,2859
23142,13016,12324,1890,3438,867,1419
58002,24646,23090,4157,7142,1103,2936
20576,6580,5118,1500,1647,301,1373
48591,21383,18872,4430,7143,989,3123
27547,13730,10377,1600,2906,859,2931
47849,17621,16028,5612,5345,543,1778
49277,22610,20441,8360,6548,1181,2927
69700,27512,23550,9920,7056,1686,1969
19618,8172,6888,1845,3066,704,1534
46237,22202,19688,4990,3556,840,1940
55883,21601,19458,5620,5048,523,1849
45014,25429,24366,2040,3596,764,1087
62019,24630,23704,4094,3566,620,9894
45874,14315,11892,7720,5010,480,2708
41648,12263,10202,6030,4599,570,2180
78468,23400,18300,15680,7303,1305,1715
40692,18884,16393,3112,6682,330,733
35594,12425,11232,1296,3491,435,1730
55115,19858,16110,5010,8160,1180,2635
86669,16244,13522,20420,10885,1095,3440
38422,14131,10752,2865,10806,1870,2055
39517,12970,9734,3192,5628,385,786
80915,28099,19460,12336,7616,2725,2980
47109,15921,13614,5710,7224,830,1385
67360,21065,18402,5602,9748,2520,2590
52954,15023,13277,4090,15296,2635,3235
17523,7076,5880,125,5961,175,364
87832,35223,28960,14345,14356,574,1614
19651,9115,7179,2200,2382,224,1141
71933,27452,24766,12201,16213,1060,1995
65039,25494,24373,4764,13756,1920,3380
51018,24053,21084,4150,8515,855,1943
80680,41153,33180,6560,5364,558,2054
32069,15698,12608,5165,1407,150,2020
72020,38108,30140,4540,7014,1340,3862
49869,26131,21177,3496,4696,435,2105
73886,23304,19457,9972,16535,790,3238
55845,27849,26460,4180,7490,1265,3305
74096,29930,25820,11715,6785,2520,4020
63204,25087,21936,8454,8714,1216,2847
71448,23849,16838,11532,11927,860,2973
28299,8889,6624,3094,4543,1040,4110
60447,28297,24706,1140,8242,694,2865
40406,16311,11810,5368,6285,930,2468
47448,16195,12609,3381,6074,465,2709
129380,31149,22263,11652,12790,2330,2685
37978,15830,13935,2380,10759,1037,2542
76360,22322,18498,7558,13123,1325,2701
52994,16985,11486,9017,6616,1430,3943
67333,21510,16142,6820,11921,1095,4727
78295,22619,12700,19982,8072,3996,3665
90889,17545,11830,12118,9647,2243,4114
35878,13991,11267,4280,4037,1435,3135
32223,10802,9594,3920,8719,1020,3172
70054,18413,9210,15405,4162,3798,5668
55249,18745,15070,5086,7621,1685,6097
71010,22580,12552,12146,9585,3035,3869
51591,24626,21282,2735,10158,1535,4115
88418,26780,22203,10110,11419,3145,3673
42675,15409,13027,3595,8302,1275,4506
33837,14303,12041,3162,5763,1565,3685
54600,23682,20748,6844,8886,1358,3637
136473,19725,13213,20005,10866,2220,3827
154874,34617,28784,54745,8450,1040,4388
148318,29368,23530,46100,15629,4590,5550
76281,27331,24978,16619,9470,882,4050
90810,21998,13540,28808,7152,3010,4234
36554,8062,7466,1715,1357,1185,324
76058,27072,17280,21070,7577,1150,3394
27455,10402,8745,820,6888,2200,2225
129751,39866,33380,28228,12775,2665,7278
46724,14335,11089,7804,5848,2955,3040
20943,7304,6093,400,6036,1025,2195
57766,25714,24163,5145,8728,1835,3265
81221,32235,28290,8287,12096,1765,2692
126269,50220,44876,23035,9142,2840,5050
28035,9957,7965,3240,7366,330,1109
82829,16288,13680,14153,5886,550,1660
33862,7011,6245,5176,7833,2117,2081
73236,16447,13660,10050,8612,720,1538
57875,28668,27360,6446,5533,1500,2450
52072,25878,24435,1685,4981,260,1678
40477,20926,18980,3108,7487,330,2171
50112,23036,22082,4332,5416,385,1535
61968,31525,30270,7584,5478,804,2311
41268,13532,12640,3080,2494,1415,2040
60547,35407,34285,7960,8820,750,1912
17894,6041,5519,750,4500,170,1005
38109,20540,19044,2966,6753,960,2392
17009,6978,6312,898,2516,474,1576
19002,5150,4970,330,1752,215,1835
83593,34628,30020,11507,12986,3544,5639
33090,11375,10625,3900,8296,1060,2200
45962,17630,16152,5596,3967,655,3730
24598,10682,8936,1540,4361,580,1749
12997,6454,4654,560,643,100,3281
16935,5634,4784,210,3130,774,2160
47977,22667,17919,8100,4582,795,3575
39192,15483,14003,4930,6080,548,2570
74750,21892,19032,15832,4986,935,1915
115272,29667,17376,36031,9650,2576,3312
72993,19541,14507,19358,9372,1730,5210
39265,10596,9244,10650,6948,485,1870
90777,18544,14046,30710,7662,1070,3780
74680,27793,22908,8579,6917,1799,4046
51789,17959,11342,8406,3205,1788,2215
56119,29428,26066,4968,6518,2285,3815
71417,21453,17576,17978,7638,2256,3445
63008,19226,17496,7751,8733,1357,6207
26879,11150,9952,3244,3518,864,2037
51642,13902,11406,8277,6518,2185,4835
58873,23415,20544,3220,2576,1539,1535
27888,9482,7668,3424,3848,1380,2677
38539,14241,12679,6320,4053,1195,3225
40256,14957,10366,6483,4986,710,2675
60167,29060,26716,6658,6846,2066,2856
55658,22180,19146,7495,8002,1714,5057
97561,28001,19832,26094,8582,3339,5733
48233,19585,17335,6488,6652,1922,3459
71736,24543,19439,15627,6641,1561,5424
93441,37785,32595,14170,9192,3505,3810
37239,14649,12708,3536,5672,2407,4988
118740,27465,21370,26628,7549,2945,5023
68093,33190,29538,3487,7710,920,7061
45910,24105,22625,1740,7753,2024,2496
54989,24970,18572,6885,6886,1650,2687
88382,35842,28236,6720,16538,3130,5460
28604,14758,14118,690,2722,1620,3005
62590,44275,35295,2655,5502,2010,3400
43751,32306,28236,742,2092,1830,2325
57688,42628,35114,982,3000,630,2005
37449,26251,24435,560,1182,1350,1970
33288,15415,13575,1680,5930,1520,2610
61247,40947,33485,1448,1908,1680,3135
65464,37240,34390,3042,5026,700,2515
40259,24666,23530,1080,3584,1170,2985
30814,19397,17195,522,1825,950,2140
31257,19672,17376,1770,3286,210,1205
33862,21021,20091,1020,2142,810,2375
16850,9590,8958,280,1910,570,1370
70182,28444,24616,8202,5400,550,4470
42629,14728,13213,5760,4940,1760,3260
53743,25697,21539,2292,4208,1370,3005
61720,41895,38915,1342,4590,1250,1990
77394,33863,32037,3686,11767,1680,3843
86129,38182,30770,2127,7031,2805,4640
133123,32514,24616,27346,22146,3506,13752
30409,15282,10040,2796,2460,1400,1690
109443,30388,22444,10237,14838,2268,12075
73751,29450,21680,4062,10180,5300,5162
42383,29331,28779,1394,3102,1530,1380
47454,29072,28236,790,4325,1450,2221
46513,17699,17479,296,6440,7245,12538
73804,33654,30303,8594,8244,4185,3818
66131,37982,34752,3223,5762,1930,3715
83134,35687,31676,12990,3377,1795,3675
20714,7796,6426,2220,2504,445,1700
53192,19704,18786,10300,10027,915,2336
66763,31946,24385,3875,20611,650,3320
82806,49598,47553,6366,5017,625,2222
107050,59702,48253,6966,6334,655,3949
312099,152762,23259,39720,33374,3725,9095
33179,12011,8101,1695,2391,870,2840
87730,41227,35287,8440,14074,3720,5003
120509,32490,30408,4580,55654,1748,7452
59780,21400,16652,4950,14886,2948,6966
83060,27633,21881,9460,17408,4360,6920
51929,22259,21605,1020,9260,2230,4026
62087,35276,27262,1440,6260,2040,3740
36935,16583,14933,720,4600,1150,2830
74243,36804,33214,875,8520,3890,7020
47523,18716,17376,1440,10600,2310,4955
102292,59166,52943,2160,19060,2130,4786
61504,35630,33576,360,9104,620,3990
38501,20256,20091,360,6136,185,3368
41695,16079,11687,1660,9560,2840,5812
61345,39130,37034,5100,4607,1010,2106
22952,16380,16290,340,656,1475,3295
67324,20570,18876,7740,13908,2575,6585
40808,11910,9712,1770,5114,1468,2910
98527,38724,25340,2960,18512,1570,6390
90565,37431,26453,6098,13688,1572,6394
157085,35724,24267,58439,19946,3100,7890
55335,24505,22809,580,7610,3165,4935
56561,23244,13673,3090,7502,7700,8720
60825,25124,22977,3810,14782,990,3788
44523,16429,14085,840,10056,690,6030
39271,18252,17143,1890,3632,2050,4310
84194,26842,21474,16320,9766,3770,5555
21691,5852,4747,1270,2634,2270,4860
104684,29048,19608,18456,15368,3316,8675
77083,40235,39267,714,9156,2500,2950
44411,29133,28417,1426,5354,290,1386
50024,33671,32911,1290,3508,380,3240
48303,32356,31856,1170,4670,910,840
35633,25844,24978,868,2615,775,1580
51661,28342,25482,1075,7568,500,2500
54361,36752,36262,2070,4976,390,1910
73677,37716,28467,5571,7090,460,2886
26186,10069,6878,255,3822,603,2365
54580,26689,23711,3960,3922,1067,2473
48565,26178,23892,4020,2590,1131,4040
33893,14954,10498,1000,6213,595,2810
73972,22428,16109,1574,7268,970,2924
89049,34613,18824,3077,4227,2122,2253
110537,46534,38915,5788,8022,9539,3880
44332,11121,9955,1757,6110,790,4400
57026,21265,18462,5090,11212,3130,6289
87708,31399,20453,7368,14654,11524,3515
160746,36015,29946,12400,22638,16590,6715
69824,23693,22379,2526,8280,3608,2886
108143,40561,28404,4700,21237,1980,9123
72904,29119,19320,3696,20424,3360,6970
76543,27722,20824,9868,13534,6835,3760
93858,36908,30913,7356,18806,4140,7081
153017,30389,23987,15610,15039,5140,6490
94802,39879,34933,5740,10334,4952,5215
89118,47968,38811,2850,13362,2880,4390
110490,42275,32580,10492,24118,5330,7495
61175,33635,29967,2080,5614,1345,5000
131186,45582,39518,4876,13524,2595,7280
84249,46181,44345,3240,13950,1850,5565
114001,46039,37664,5680,20500,4834,19860
141141,33240,32580,4290,65952,3430,13190
36682,14895,13575,720,8238,650,1910
39018,14917,12851,1170,6390,520,3951
107771,31687,25340,4020,23807,7500,12343
100426,63774,58644,868,13510,2320,5448
138520,30517,21246,2992,23670,21936,30690
21901,8357,6133,420,6201,605,1355
56636,18901,16019,11184,10000,2450,2223
39415,13974,10724,5037,9723,2065,1613
64760,21229,17863,3186,9650,1788,1260
55510,21591,20091,3180,7580,1265,2635
55582,28383,26180,1560,9634,1320,2451
48019,18237,14752,387,13929,3355,2923
37185,9341,6384,300,7155,1510,1058
78435,26388,19006,5842,15877,3888,3975
63919,28675,23243,2418,15175,1534,2474
58576,26761,22776,3144,8376,2270,2306
54288,24945,22534,1834,9682,1629,3840
78046,31912,26707,4851,12760,4320,2340
98272,51093,47567,1911,16010,2122,1921
87397,36600,32128,5160,7600,3484,8020
58768,26659,25793,2670,11338,3040,4360
89331,43869,28643,13200,12778,2164,4410
84876,34017,25793,7023,16424,4440,3800
66560,33292,27376,2070,9717,1860,4275
48059,23663,22625,2844,6950,2370,4750
34470,15100,14480,3360,6550,2850,2610
74335,31418,29866,2470,5586,4030,9423
46231,16038,14480,2340,6036,2790,8310
55579,21630,19820,1620,5874,1970,8670
74768,30144,28146,5004,17596,4050,7560
73321,28353,25793,2760,17682,4310,6480
86906,31079,22399,10890,10476,3280,12020
52821,23499,18553,2340,8471,3060,4020
134709,82038,79188,8280,13310,3720,9950
61604,42140,32399,1656,6150,1080,3943
88886,35819,27965,10862,10194,2170,13784
27770,13116,11458,1440,5487,1000,1980
78467,37739,31775,1716,12888,2640,3585
29512,7115,6245,450,5137,635,1111
26854,16522,15566,120,5113,1662,825
65410,33221,29323,1444,11259,1596,1800
63879,28084,25636,5879,9379,2428,5592
50677,24108,21549,2532,7148,2866,4152
111132,45721,39920,12310,17272,2306,6311
78132,23251,17335,9895,13562,2851,10770
75633,30924,24897,5700,11236,3498,6660
71119,33882,28440,5070,6800,2792,6033
80754,38156,34391,1891,6434,2746,6184
79486,39707,36240,4960,11350,3855,7070
133220,53812,48384,9336,30494,2268,6520
65732,26226,21177,6495,10356,2078,4145
54429,19050,11010,8344,8580,2604,3845
92231,39924,36202,6298,8492,4076,6887
74100,30579,29413,5122,14803,3154,5118
93043,23769,17695,6712,20778,4066,8391
82725,30379,24254,12923,6488,905,9235
67470,20800,16652,6105,11440,678,4039
55480,24590,20996,4391,4081,1078,4596
41396,20098,18462,3114,3796,435,1168
57262,34202,30046,2155,5884,545,3722
123177,34104,20091,21059,14258,6525,10600
50397,38722,38070,1611,2063,450,2203
20134,7459,6770,3750,3922,765,1222
58970,30665,26200,6360,2706,1875,6820
38400,14878,10136,3416,4922,690,2087
70614,33053,26064,5459,10094,1115,6250
47966,14780,12398,9315,4106,715,3232
28280,17299,14334,760,2272,1230,1599
11938,6700,6442,240,598,540,1313
58390,33758,28829,1740,4087,508,5379
97289,25741,21995,9480,23426,1758,5510
69906,21408,19214,3020,8620,1760,26382
101814,32764,26860,13470,18592,3164,8170
90939,44669,41461,5640,10799,3482,7263
64769,28292,21217,3894,10276,3900,7554
57539,19070,16329,3190,12110,5168,9220
98350,34734,31617,5598,28066,1870,4302
79916,29600,23570,7812,12380,890,3718
112442,41699,39639,12224,15082,2592,4820
124028,28899,23756,33080,19623,1950,4502
60023,14105,10498,10676,3327,2250,2260
40588,9812,6878,4660,5903,2230,4008
86349,19914,16652,21718,5829,1982,1917
128657,18308,8688,5595,16944,7999,4890
106542,26950,22716,18616,10402,2272,5470
170630,67873,51857,17928,21154,14084,9734
137163,50284,36562,27011,15962,2255,4708
148896,45438,36920,14302,23593,5535,6410
89454,17422,13937,16823,11714,3545,8871
117863,21434,12233,22425,12162,13510,7004
89822,27478,16468,15990,9352,2000,4167
209356,62869,41022,32116,20406,11637,8583
141364,32061,22482,36645,17644,6630,5373
100031,27101,19517,9894,14314,4284,5148
181781,32629,19367,20670,16927,18937,14325
202412,48140,27693,58976,34810,12003,12571
85710,17551,7924,19700,10514,4300,6050
36775,11401,6572,3603,6063,560,1306
117777,28660,15747,13846,12234,6720,8668
128628,21217,9273,20970,11986,9055,10635
104309,24016,18507,12474,22834,3365,10250
73992,15415,11039,4510,13038,1384,5115
53266,15202,7240,6062,3803,250,1803
83715,25559,15385,5168,16258,2120,6032
170313,32119,19186,18253,40352,7680,8585
98819,26735,14390,11878,10882,5435,10435
151873,37747,26696,12304,12317,7433,7915
43804,9828,7188,3540,4235,2190,5080
136751,37047,21358,21776,14992,4300,10510
183024,42403,30466,33754,12761,2730,8700
141799,46675,35043,14228,18868,2395,6872
54861,25368,19549,3564,7123,920,3626
98320,28434,18100,14027,10918,13275,6030
119826,21967,12771,33292,16088,3823,8529
76569,25280,21388,13356,11107,1517,7817
54937,25,0,0,0,0,0
67043,23319,15928,5755,11468,10560,8975
71457,19548,14880,11216,11860,2860,5515
117092,23982,17557,11512,4630,1695,2852
160094,26601,18100,31286,41890,11476,17405
203755,58570,32700,28124,15670,6880,18925
119686,25200,19458,12466,5476,3412,2943
83590,29707,27150,9778,3263,5096,5192
128647,26319,18265,20209,19155,11321,5280
93055,23989,22263,5824,16772,4658,7891
64922,20324,15385,4800,2191,9048,3595
110280,18915,10317,22119,11306,4890,4940
223882,68663,45069,72864,5326,2640,9025
98248,25081,17648,7692,14504,3465,10219
83043,31848,24978,8703,5585,2184,5955
98667,24131,10543,17150,16771,7260,6777
148987,44132,35295,3774,11354,3785,17791
174838,21948,10498,36466,27543,3315,3575
62794,20257,17798,7403,14490,2065,7160
42377,15811,14902,2343,6823,2112,6040
51981,15482,12668,781,7345,2785,5137
289123,44661,20516,42000,24659,17176,10054
69120,22430,18792,12294,9443,2410,5430
85466,27119,22263,8170,13412,4503,7001
54523,26513,23802,5070,5498,1665,3615
21166,7870,6652,4950,2474,740,925
47711,16761,12024,7935,7100,2220,2259
133458,41022,33025,27168,9101,3075,6945
31622,13610,10860,2988,7450,1260,1700
254635,70070,46258,50740,34331,10100,10632
96789,37810,33454,9950,10739,6755,4866
45230,15773,12670,1730,10620,1530,2271
70465,27123,22725,3482,11384,2080,4097
51760,20193,15114,2875,7923,2525,4377
69708,28679,25702,2021,11760,1810,4508
89843,36681,28236,5254,13646,1870,4279
41095,17265,15250,2364,11038,1130,2349
189995,46367,25410,34176,14792,3205,8528
36139,13323,10181,598,630,695,244
26474,9353,8417,0,210,250,0
103205,44896,33359,8650,10182,1595,5850
86555,37171,33485,7766,15497,1575,5092
113510,49361,40182,11338,10165,2180,4864
106187,42543,31766,9998,9169,2820,3904
70079,18675,15385,7174,15624,2582,7738
106156,19031,15883,9128,13097,5140,4735
92322,21810,16833,14872,16766,3689,5642
65745,24913,20363,3132,15132,2952,3780
54435,24127,22444,2372,3710,970,2530
163269,41487,33123,21220,19607,8520,11666
77802,30306,23750,8940,6988,2290,3900
86332,19987,12911,13804,19458,2020,4900
41679,14059,8145,3591,2411,1440,2870
53821,15726,13394,8360,4334,2620,2429
71414,23699,14797,9216,6958,1985,2333
81799,26260,23389,6424,5383,1330,6105
87753,30249,26290,5462,15688,1000,4311
413844,41300,23530,23222,26383,6860,7612
70449,20486,14902,8356,5216,3590,7660
38050,7900,3890,2280,2354,1120,1260
78820,17138,13980,8768,8422,5600,14270
36543,16523,10498,7202,3304,690,3279
59904,21882,17738,5444,6714,610,3672
43329,12423,8958,2782,2650,480,2440
93657,27934,13213,19920,8440,3675,4496
32736,15067,10951,1503,3728,1293,3553
54344,25315,23983,279,8076,1650,3218
347071,51826,19820,65200,19226,12270,8670
185917,27849,21449,18093,6707,3506,4699
204092,39495,27150,44010,20740,6337,10655
209773,39304,25522,33435,23872,3710,5860
61370,32864,9955,9387,1565,260,4121
64796,27815,24616,6412,4087,1656,2719
26034,11474,2738,585,1470,380,1343
216190,25509,16959,34559,25822,8360,16184
103418,49885,24857,6051,9025,2902,6849
50175,13420,10317,2197,2676,325,2545
59202,25248,23735,4344,10330,3160,5529
39086,11821,11101,1100,7356,3095,10698
58113,19928,17195,3000,17388,3060,4175
54317,16811,14097,1980,8260,1703,12849
65469,20439,18734,9091,13024,955,7725
91908,30033,20544,10864,8855,5744,5770
59535,27548,22218,7818,5680,3120,3342
41968,16957,13788,3134,4219,1797,2790
97953,54475,52671,1914,21123,3353,3955
79559,43063,39524,3390,8968,4144,6426
30837,15289,11711,990,4963,2106,3420
78650,52864,45744,0,7640,3468,5685
51296,25091,23429,3969,4888,890,3435
145433,82769,66304,8328,23396,5281,6212
88536,42776,29945,8929,9721,3716,4230
66656,34160,22590,7233,7769,1478,4685
55723,31867,25340,7405,6280,1190,1775
121371,68818,58764,11626,11284,2077,5820
89646,52136,37829,7888,6195,1943,4625
32162,12687,11222,1684,4769,4339,4509
42070,22883,18414,3877,3652,1344,2590
35616,12708,11658,3940,3831,1915,2066
58120,18783,16743,4560,18476,2685,3920
31499,11315,10347,490,5231,2495,3846
86482,36457,33585,3420,8140,835,2414
53946,22072,19820,3600,11128,1581,3020
44776,15887,13032,9019,5841,2709,4206
90952,53301,46530,2490,12056,964,3587
76146,44640,37105,4066,8361,1445,5567
42262,19703,17873,2265,5029,2170,3371
24547,16297,13882,151,2500,433,2258
58980,34839,25908,2036,4939,853,5463
74389,33427,25913,2305,10897,1423,2887
126710,74709,60311,5165,14534,3550,4971
152886,18674,13123,8895,12380,3993,4938
132626,43075,30770,4520,9844,3225,13170
58632,22880,15630,4528,4989,590,4128
69887,27969,21992,9762,8743,1156,4440
97919,38182,33083,3747,20209,4080,4153
70748,35408,33525,8456,7373,1275,2256
63186,18221,12015,6782,12906,950,8580
99391,34100,29141,2029,17974,1740,4413
30194,6278,2444,4450,1683,1655,1975
83733,21842,17014,12384,7559,2155,2636
104307,24228,13847,20618,7698,2904,6106
58010,26327,23078,4041,9548,1120,5946
43654,12800,3610,5866,11586,720,3830
40580,21565,15295,3990,6472,550,2446
104214,29256,22082,16986,5266,1640,4010
68474,32205,27965,10880,6072,1970,3855
108697,22225,18191,19545,7082,3790,2667
79737,55984,50499,2838,5664,1924,3135
52388,39243,28779,0,4576,1610,2495
84618,41156,35748,2817,21488,848,6146
62415,13578,7512,7962,11672,3293,6467
39788,23465,22535,1482,5356,890,2945
51704,21696,19684,765,6996,1940,2090
81804,54269,50799,4080,6185,840,6940
131823,88789,81541,5907,7766,5730,10730
60700,39734,37648,3806,5831,1850,2510
73709,21254,17764,4520,11140,2605,7268
70571,35256,32137,2849,5109,9340,4198
26288,12738,10568,610,8672,1320,1553
35248,17204,16948,600,5328,315,655
39208,11352,11132,1630,5990,1190,13165
39085,18622,12670,2670,9858,1160,2878
124271,31985,24978,14186,9378,15457,20155
112382,30583,23570,13704,15624,4070,4673
89708,33723,24073,7906,12443,4654,16160
291240,63591,47060,42635,30613,21377,27819
70817,27553,15743,4884,12450,1610,5582
134814,49273,33485,9240,16444,10518,6014
52835,23193,17738,3370,13474,490,3428
100398,33935,28960,12914,11439,5210,4905
76215,28908,26064,8314,10769,1370,3863
117015,40688,33485,15264,19785,3160,4586
91511,31104,27150,10093,13799,3460,4886
79028,30589,26426,9350,6563,2534,4369
56581,34477,31766,1221,2485,570,1119
53214,17605,14480,6801,5039,3839,4044
36183,18186,16994,1678,3963,87,1419
45726,15214,13213,3235,4601,4590,5638
139692,77053,67705,7050,10574,2825,5735
94238,54605,43015,5383,7910,655,5715
133523,83026,73820,6878,9760,2395,8858
100674,56144,54653,9484,6827,3944,8100
20894,11081,10774,2145,1539,1050,1635
67096,27540,25340,4307,9046,9670,4522
57508,27704,24341,5320,3166,2950,7405
71251,39402,38363,4790,4457,4860,5916
151568,72361,67949,12836,18607,5910,13838
114476,48053,36381,4646,10526,8350,5830
70805,27920,27150,3584,6390,2770,9030
21653,12653,9412,300,1305,655,810
56617,10746,10136,1160,2238,0,1985
78318,16556,11086,5681,7475,2805,6786
90629,33964,23303,3544,12483,4030,8379
33140,21408,20634,2045,3620,415,1150
41622,26435,21720,1680,4172,625,1489
55858,35430,31494,5500,6396,585,1395
59332,44902,39820,1450,1942,240,2110
27783,14963,13373,2472,3606,860,1800
47970,29741,28095,3030,3514,810,2305
33664,18847,17014,2180,5406,918,1290
61838,29323,24928,9274,5490,3743,2865
26200,12162,10136,1080,3276,525,2310
34011,22018,18100,856,3480,545,1465
51539,32846,29512,4170,5352,665,2400
80027,43627,41811,2340,11029,2430,4725
32816,19825,19269,1315,3698,1116,3283
70956,29242,26292,4386,5652,2328,6220
58170,31405,30055,3440,6234,3910,5703
60440,38572,37840,1110,5748,2130,4642
77874,53159,49660,2044,4206,2150,3645
56965,24944,21720,1790,8298,1010,2200
18211,7730,7240,1110,1794,675,4106
78891,47954,45440,1962,5348,2083,5293
68161,26177,22781,4644,16252,1500,5273
69975,44712,42354,1506,8496,4020,3568
99518,52618,40454,3846,16117,1366,4247
48183,28237,25340,1698,6380,2490,3500
38536,22256,20634,1293,3596,1745,4545
61999,40234,37648,1173,4450,3340,4995
78351,44714,41768,2466,7610,5170,4338
58530,26783,22654,5004,9834,1530,4202
72913,41842,37106,6690,9113,1135,4170
56324,31211,28622,2412,9800,1690,4010
61580,33027,30499,2178,7670,1428,4933
93738,22203,15756,9585,16208,5071,8724
165944,29421,16900,15868,17187,6503,8226
60519,16856,7280,2836,4841,913,2479
95139,24708,14728,14785,14138,2770,7119
129825,26047,20634,23665,8855,2723,9812
145936,21754,12552,33359,15531,3692,13871
190491,27442,17800,36725,13604,4688,6545
142279,28588,19723,22658,11336,2105,5598
34252,9768,6916,3130,1844,245,2127
27654,8852,6740,4383,4395,1115,3518
123608,19937,10452,26052,17633,2448,4731
158829,36557,22782,23951,13558,3851,6401
123108,20978,16290,18427,12011,5095,6676
121144,31482,24978,28889,15312,3830,6893
83827,20493,12353,10096,13449,1059,4638
110415,28147,15888,25423,15045,3165,4123
235024,25347,15670,56807,20552,4299,9228
87377,14007,10120,13244,13154,901,5236
65364,26328,16018,4610,4985,745,2287
78426,22052,14222,16323,12445,2620,5785
101448,11657,6480,14089,10647,2480,3911
118971,28636,23700,25311,19956,2898,6145
118521,35704,29404,11391,11319,2410,6342
129709,37285,30200,28362,10031,2870,7442
200772,29585,18545,38375,29884,7641,10999
38119,7819,5100,1660,4688,935,887
108450,23404,18980,15879,8175,3499,5961
196439,27164,20250,21535,22888,4732,9017
51935,12523,10000,7320,7616,2745,3648
91996,22164,16153,8396,6288,1300,6606
107895,25131,18680,15212,13200,3180,5979
101698,17188,8020,21844,14600,2750,4223
96201,16905,7332,22005,8794,4050,4535
129679,28488,12870,28551,10257,3455,5929
160106,20117,9022,24877,13684,4545,8543
153862,37058,12660,18720,16428,4385,9445
124565,25142,15080,31447,14969,4500,8759
70905,14849,8970,11393,9886,1640,5487
56476,13262,9290,11282,9990,1290,3067
148459,44925,29100,35338,18108,2930,6630
53031,17129,10660,12814,8324,1230,2658
127435,30875,15936,27559,9587,7390,8762
79730,15846,13345,17143,5912,1360,3938
62154,20116,14772,9516,6591,1348,4063
169663,32493,20652,29600,21635,6038,7915
130520,21232,12450,23330,15766,12349,5176
93465,29435,23206,17065,11800,3195,10079
123758,22060,17394,16080,16167,3024,9842
146513,26823,18736,41360,19161,3115,9770
122542,33658,20708,10661,19505,1295,7749
107081,29040,22122,28050,11351,4240,7599
123163,26137,20954,15892,13082,2805,12229
114795,14986,7904,10098,9161,1568,8558
228873,51644,31214,52850,30064,5003,13953
72722,17215,12806,16048,18133,688,5575
114615,35287,25612,30327,13592,1635,7903
226491,26839,11780,41125,9082,8051,6762
112297,32163,23711,21575,12576,1373,6530
35391,0,0,0,0,270,0
162021,43901,24428,29850,28740,4721,10278
121369,33710,18578,20620,19660,2851,16806
76945,22040,15068,11040,12711,1850,5146
48274,14955,7512,5781,7813,1122,3759
93754,29282,14879,16348,14990,3366,8347
142566,35101,17992,23425,17811,13907,12481
139634,39561,31980,25718,18333,2303,10761
106138,20788,11830,26377,19565,2650,7421
109052,22138,12259,28785,17731,3235,12608
96300,23425,12700,17415,10486,2400,5227
141098,33571,23711,17416,13880,3790,8864
185230,28385,21840,33869,13765,3900,5824
90761,22633,13633,25875,7237,1620,4562
26244,8295,6350,2595,4475,675,1425
88630,29486,18206,19195,12536,1940,5737
47794,11653,10176,4636,5070,670,1694
112246,31707,26868,24851,15307,2480,9764
77108,23334,15789,15017,12060,640,5496
335367,35130,26100,96338,25800,14260,18803
75818,18122,13480,23436,8622,2350,4101
93972,29383,21122,20865,10457,2925,4344
87891,26238,21072,19050,13502,2600,5771
29435,3589,1810,1445,1344,410,155
135637,27497,21450,27887,15606,1868,8146
111718,24834,17798,27268,15656,3115,7766
68381,25599,23310,0,0,10990,15862
42305,13587,10630,8459,3623,1210,2802
111583,22250,14884,23045,15378,4000,7995
159048,30676,22888,25469,12999,5329,14788
110159,27290,24940,20760,16255,2755,4324
94602,20403,12802,41220,4192,2665,3132
39080,9953,8268,9310,5206,1640,3597
80519,16568,13481,22906,12301,5170,4680
105194,40740,34933,15882,12512,1555,3160
22170,6682,5765,7297,2355,750,1349
134967,21746,8040,24794,16478,3170,7614
189282,33456,26400,25110,24100,3640,7800
53685,20453,15639,8495,5981,1250,4315
105168,33556,28080,30159,6849,2445,5475
18881,7320,5884,2940,1687,17,840
40771,14027,11420,6508,5126,4705,3192
103269,28682,24000,15248,12611,1666,4907
78082,28106,18200,9490,6426,2497,4593
176021,31747,25475,43386,13080,9820,7393
112637,38222,33847,8099,8783,980,3444
113104,19705,17610,23508,13166,1639,4164
143283,31478,29338,31005,14910,4830,4860
30506,7351,4852,2575,3696,750,3125
94609,33495,24550,9480,8878,2335,5634
97523,17453,11505,6120,11198,270,2796
