"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
93387,39760,32178,13703,14142,2075,8190
27529,8125,6220,5643,3415,825,6335
103206,52135,43097,12468,9740,3280,7170
47693,15080,10033,9920,4270,1741,8050
112200,41162,36200,15569,12652,2910,9150
65512,24484,22172,13117,7384,1780,4730
104620,32006,25352,25717,17494,3045,8455
111206,26806,22575,22053,13015,2425,10885
39359,22047,20032,5089,3904,1735,1740
47992,23967,20695,5474,6724,2560,3790
60553,25625,24297,10280,10018,1750,7565
54761,21111,18668,6480,7933,1910,9090
83332,34441,29330,11940,7510,2300,10255
62245,23599,21147,5790,11866,1910,7930
153540,16524,14051,3664,8033,1518,11710
67330,29030,25682,11174,11162,1850,6745
100370,29374,24261,15916,9453,3964,14486
77175,19466,13582,15797,10093,2355,5431
126018,68227,59129,10168,12073,1605,7395
65370,26613,22764,8994,8617,1020,7045
80490,44312,39372,7575,9506,980,6735
47437,21345,18216,6877,7448,1070,5945
66602,32743,28925,5700,7065,1805,9070
55993,24173,20352,6405,5910,2780,8930
89906,49328,42830,5832,6648,2130,9860
50708,20684,18249,7550,6747,2030,4800
55192,22940,19058,8042,7198,1615,7045
48660,18832,15244,6814,5500,1895,6445
47654,18936,15256,9220,6784,1125,5755
32746,14695,12701,4048,4137,1380,5390
58522,28241,24134,10014,7392,1140,5565
108722,57518,48369,12371,10684,1195,5575
102594,55874,52047,16728,10824,1625,5035
59271,30856,27200,8070,6123,1385,5865
58349,28368,25461,5104,6990,1325,7735
76109,45760,42235,6122,4824,1600,6135
69480,36068,31494,7430,7078,1460,4692
55424,30930,28659,5800,6597,1280,5565
79480,47435,44045,7748,4584,1395,6225
78588,49802,43078,4960,6869,1605,4525
24004,10374,8788,2792,4107,1170,2985
86244,47344,43078,8683,10595,1430,5274
39588,19479,18047,5394,5121,1305,5100
67890,41876,38010,4909,6931,1020,4650
34311,10611,8788,4448,3046,1630,3930
99592,40556,34752,7888,17947,1994,5690
27599,12258,9623,4367,2940,1025,4755
30457,14022,9899,3223,3220,830,3370
54801,34236,31132,4963,5667,1105,4210
53155,25991,23380,6574,6864,1295,5225
63465,29427,25461,11998,6531,1600,5485
46226,19038,15760,5760,6416,1720,5340
76577,31006,28654,12887,8277,1615,5840
51053,22777,20397,5067,9464,1580,6510
89924,38395,33185,15459,9609,2104,6630
74331,46066,42235,7877,5535,1550,5500
79612,42380,38734,7214,8171,1370,6325
94207,39527,36200,17092,5808,1495,5600
68256,31665,28659,7733,6648,1685,6215
87262,24568,20218,17488,8848,2555,6865
79565,35332,28659,11732,9791,1410,7980
83931,30672,26637,13944,10982,2379,7460
145444,56088,48798,23332,11455,1650,7985
85129,47899,44045,12208,9707,1710,4635
42476,16748,13577,7330,8508,1110,4020
63345,25255,22174,8849,9433,3230,8763
48842,18405,11001,11423,6571,1250,4610
90109,35234,25823,19560,8334,2245,6580
64202,28678,22842,7877,9488,1940,5205
77820,23828,19567,14991,12342,1807,9150
82489,21751,16502,12872,17911,2255,8950
52483,21059,9204,7178,7338,800,4593
87241,31336,27690,9704,6948,1880,3673
69449,21603,16380,17549,12173,3255,3688
75192,20052,14090,15266,13158,1375,3522
31191,11998,10420,4437,7874,860,2371
54876,20024,15388,7462,8812,907,2981
68155,25210,19136,10441,13590,2410,6148
74987,31937,27010,6242,11145,2940,4166
85602,39926,36370,8117,8342,2113,5496
92963,40420,29740,9756,14516,1833,4351
63509,21995,15730,2552,11062,1612,2585
45052,15223,11960,6297,5322,1290,2962
52127,17607,12012,4398,17154,1925,2810
70216,26634,24282,13123,10497,2633,4866
169516,34483,26824,34184,21020,6491,6206
73984,28631,19400,11654,9456,1122,4546
38816,16322,14820,1474,13374,410,1855
26523,14384,160,1600,2787,245,1245
39671,19080,17010,9030,2169,630,2312
15426,7084,5574,1145,1091,275,1563
20933,7854,6760,3238,2916,190,1560
38096,15882,13608,6266,6244,765,1705
55981,22222,19724,7650,5345,1050,2572
87341,26694,24070,18192,9379,915,3906
88383,29226,26460,17400,15139,2430,2565
57017,18470,16512,14582,14728,285,1880
54466,22758,19200,5700,4784,740,3135
23415,8492,7540,4365,2066,140,1240
46409,18322,17152,5874,9353,95,2710
18329,7695,7185,1120,1777,465,645
84121,27152,25310,8658,9213,1940,3985
36762,6498,4460,3670,5080,1860,2635
71421,32549,26336,11074,4702,1898,2646
47421,28809,9100,1410,3931,1870,4134
89519,23808,1500,15178,17698,1841,3628
27410,13149,276,739,2236,655,5806
48394,22942,7220,1851,5022,6470,4220
75078,38291,12600,7731,11482,3279,3872
95437,41360,240,6340,13210,3916,4962
58580,21948,1140,8746,8210,2687,4509
72599,24303,21300,4949,8990,2094,4200
56792,30251,0,3538,6407,5530,3050
34757,14014,1800,2617,4033,3122,3918
62982,27163,108,8379,9510,1831,4449
27377,8295,6487,3446,1234,492,3324
46023,16909,12424,8050,6508,1194,3983
36802,9821,2236,5560,4622,1420,5753
99634,34945,23556,16635,17230,912,4169
86786,41312,37966,3440,4248,1538,12260
111789,35294,30420,30359,12155,1646,3510
50479,15170,10260,8494,4741,680,1998
118660,39904,27610,20498,10968,2675,2828
103235,31712,29430,26752,7358,1190,5340
83044,27275,23920,6790,10394,2460,3906
75876,17149,15300,7174,15158,1521,4286
132484,41758,32160,12813,12286,3219,5600
103494,12750,6900,17130,10024,3230,1523
82453,27062,20160,17133,8582,5625,6486
156084,39386,29250,26758,17187,2400,4484
170599,51809,42510,28316,15271,5195,1420
74885,16232,12480,12190,7056,1000,1545
180371,57986,43155,34748,23570,4820,5833
57186,23637,18135,2550,6258,2376,4790
166848,31328,21060,29278,26918,7385,6490
104699,35378,25064,7884,19536,1496,4362
122507,26912,23400,16608,14634,4955,3290
116225,28212,18672,15795,21280,3390,4738
67405,13364,9360,14450,4308,3120,2320
162785,39119,27690,27240,24073,3457,8308
93499,26136,18950,16626,14422,2215,2714
58678,18236,13788,12094,7166,1380,2540
167138,38678,15210,36028,30238,3599,5897
129340,36050,27540,38277,16073,2050,3743
121377,31044,20904,29304,6916,2355,2620
120955,24295,21199,15711,9906,2650,8000
32554,12774,11388,3370,6847,629,1605
17618,4639,1597,2610,2348,398,907
94653,30935,18427,12237,25418,1060,3579
37572,13849,11310,3811,6506,679,2062
43050,21858,14820,4599,6044,410,1848
32955,11853,6354,4695,4525,805,2395
75333,33115,19932,5990,10100,715,3715
103719,25576,13500,12798,10098,2368,5325
52563,21660,16824,8448,7172,530,1820
15129,5707,4201,1160,3203,295,2490
118463,44367,38040,24570,20506,5040,3875
35895,14666,9246,3960,2748,333,3337
51626,13855,0,14830,9863,757,2565
124464,42104,32370,9882,14980,1875,5538
72330,30396,24580,5792,9240,4390,6703
45735,19999,18315,4610,3035,1990,4180
220630,54999,36495,34080,22230,10590,16290
34879,8932,6006,3780,3800,1680,2083
54891,13980,12150,6580,9460,2700,3942
144639,19902,12090,28740,17240,5546,4664
69082,25448,10426,3138,11240,1880,11054
110989,32657,26917,6432,10695,8186,7744
170469,29894,23360,20810,22825,4690,15934
80405,14106,10596,5940,11020,2480,6425
105485,40230,35100,12000,11736,2500,8586
71125,17940,13920,3780,12690,4379,8728
95994,40965,34543,11760,11100,3000,8010
97088,53040,49686,4920,12430,670,3195
135102,43759,32556,13380,11340,3989,5972
49360,22280,19320,4340,7500,2680,3740
255846,11275,270,6146,7150,3103,1325
56243,21848,16640,11150,5112,745,2824
55720,26255,24600,5290,6033,580,3235
86030,40260,37690,2110,6401,460,3537
77006,23664,22620,10546,9278,850,3078
153658,42915,27690,16550,13926,2790,8780
121076,36875,31950,25442,10460,780,4940
69811,29070,20982,12762,6454,1260,6177
65935,19558,17940,3780,9041,50,1668
39894,20879,18676,1610,4437,270,2072
32139,12090,11830,2255,1466,0,1330
14529,5230,4680,468,663,50,75
55045,22304,19760,6420,4630,192,2030
95680,21769,17888,35922,11914,2275,2160
69812,30348,27820,15210,9944,840,2380
99627,35781,28990,9414,17686,2180,3675
35410,11655,7692,5079,5662,1915,3572
42834,14061,13460,6116,5330,970,893
109248,28001,20332,22434,19030,2860,5537
139049,71865,66460,21220,15760,995,5780
49817,12455,10434,4332,10061,1760,1100
175659,59341,48912,34216,35465,8100,7870
106288,38301,30166,10100,19007,2092,8610
45549,15223,13884,8307,5008,1356,3690
85140,33043,28450,14528,8081,2115,4868
52245,21543,17815,8410,4824,2265,2578
69185,20504,17370,13944,4958,830,3090
63182,22847,16692,8940,7252,2158,4944
95113,33286,25672,16836,23245,1270,3940
117348,33550,25116,19588,12138,2280,9655
72389,18156,10088,12424,12087,4012,6806
67835,15516,11205,12300,14052,3620,2514
75920,30495,23400,6544,10264,2734,4055
122592,34452,30200,15552,27604,1015,4713
72625,26770,23512,9860,12922,1465,3030
79023,30631,25637,6692,11864,1095,4023
86565,43679,37100,3895,10521,1420,1270
35812,16773,8595,2398,9080,350,2022
48811,23150,20310,4320,9252,1150,3305
16663,7662,6298,550,2250,253,2748
60926,33311,32022,3090,5772,790,3329
72262,31830,27620,13927,8356,1142,3770
50153,18237,11020,12000,5288,540,2230
57724,27265,24768,5108,5319,1250,4268
35564,12392,11546,2100,6252,1010,3615
66817,28246,20220,8552,7092,1114,3875
66427,32555,24480,6990,8612,1830,3140
57693,30733,28442,4740,10146,594,3242
64805,31052,22618,10024,6149,966,2815
161834,38503,32670,28658,16484,1244,24955
77194,41364,39000,4317,5179,1424,4072
71960,33525,0,3335,14220,315,3756
99617,26444,20020,17758,10904,1505,3060
53561,24966,23140,2790,9491,90,2250
67646,36167,32614,5332,7881,1590,3375
91666,20696,10920,11612,14808,1285,3995
122827,57705,46420,18030,15990,909,3121
88877,19631,16605,9778,23728,2505,2851
58216,24006,17682,2662,10780,776,1003
69469,38551,35113,3846,8269,1700,2695
135702,47306,26355,16594,18045,2370,9763
46873,16976,15478,4785,8617,2235,2617
99962,35123,31868,9741,26460,1645,2565
13848,9070,8632,0,1951,145,83
140208,18818,14260,32926,20083,1045,3063
97845,42827,37944,16948,9423,536,9680
231330,52063,44812,87543,19894,3100,4095
43190,11702,9672,11636,4637,1483,2030
56463,14903,10400,8112,15134,365,3535
66097,27546,26208,4762,11824,640,2180
109306,24708,19968,10590,19638,8630,13005
83440,22948,17784,8221,9026,806,12230
72682,20329,17550,11852,11335,2055,4716
525265,64174,38088,119230,76356,26710,25792
34253,18178,17290,4862,3012,330,1445
77138,42434,37960,5207,3636,6305,5185
98005,45448,39520,6464,15922,3035,9010
67835,34929,27222,11389,4422,990,4505
96846,34747,29952,16546,12002,390,3960
64062,24388,21294,9100,9542,1500,3875
130348,46282,28600,19386,14668,3925,5650
35728,12426,10400,3372,4068,1040,5564
101943,42166,38636,15546,9104,920,3792
169033,31795,24000,3900,63859,4471,13820
46219,14319,8012,3744,9422,2039,4300
116480,38642,24336,32608,14096,2790,5324
91340,31117,17264,18582,15482,971,5510
54899,10070,720,4907,8087,1117,5754
102942,28496,21160,16418,17693,3001,4078
30000,11260,10140,710,9118,897,4166
50883,18335,450,5347,10712,2847,5399
258556,59962,50150,80742,23276,8087,11118
44143,15153,0,5113,7256,655,2630
36937,15552,11450,1480,3980,1268,3351
8361,4322,185,198,835,284,1268
91994,40714,31590,6127,8133,2752,5441
64126,23624,19320,6433,9842,1283,8501
36763,14220,6750,1350,7070,2248,3335
54204,18681,15840,7718,7916,1696,2231
111255,29004,25800,5482,23044,2940,7448
123341,36068,32850,4836,59639,965,4421
73492,16181,12425,7954,19016,2476,3987
20599,8745,3511,1194,4212,1235,3010
87801,20948,16440,23130,4702,3660,5515
63299,23761,21190,10562,8218,1791,4612
149631,38867,33852,55709,15477,1733,8098
72954,34643,12604,6384,7815,630,5137
63560,16304,13720,8908,11546,450,3510
189174,66441,41505,44263,16075,2651,9765
150472,55657,38080,37242,6654,2922,4721
120226,27959,15106,15626,12530,5662,8522
100752,27494,16968,15193,13790,4720,6898
74240,27729,19318,6656,8279,1565,4085
83691,21578,17351,7042,15589,2397,9108
100687,39484,32630,17108,6046,1219,4970
241786,92242,82506,22320,47188,3120,11070
18072,5870,4980,1409,1780,323,1965
94063,50373,46833,6513,7968,440,2660
153469,28812,16356,18490,39927,3150,9238
42251,9882,8562,4060,6548,290,1710
96848,44521,39580,6426,9775,510,2535
112527,45295,28600,15960,10359,710,2680
96042,32351,29120,9516,11880,1605,5560
87512,31276,25610,16840,15020,1040,3795
178706,47900,35490,39940,21436,3004,10917
87566,30174,21810,11224,8471,1530,4612
241070,70111,44400,53182,24201,2137,12050
78549,38766,35490,8044,5894,1395,4814
79756,31726,29010,10412,9290,520,4318
114536,31277,26410,17396,9448,4180,8756
55607,27580,26325,2388,3638,180,2487
86576,34402,27680,17997,7760,1255,3182
114838,37839,31500,9536,17902,1975,2490
88044,33631,27878,15803,11264,1504,3538
126225,45837,35490,17061,6986,1470,2645
104252,16676,15600,28411,18800,3175,7345
76896,25799,21050,10604,12490,3804,4540
119905,25385,14448,27482,7042,3610,2075
37660,13191,9418,4519,6009,846,3512
52374,20006,13808,7152,3269,985,2415
49407,14650,10374,7348,11891,1555,3147
72971,17756,11674,13496,6945,1068,3791
111473,15807,12312,6165,11107,24407,2674
720007,106818,86948,261566,43928,6773,29833
117996,33656,22944,18698,16479,2911,5265
28822,5643,225,160,680,190,0
91021,44169,39494,5934,7072,1935,2981
60567,17050,9646,10010,16210,1296,3886
235384,44702,34710,33574,28316,14880,16548
73707,30910,27040,7050,9143,745,1116
29421,16272,13000,1323,3571,330,1360
51076,24677,22176,5107,6741,1370,3240
48243,23414,21806,6958,6019,350,2475
38945,16564,15350,4975,6074,264,3193
131890,49677,44715,14476,17930,2871,6070
93381,20501,18140,16719,13806,3672,3715
66933,46817,43933,3158,6128,460,3299
69962,39457,38163,3617,5910,879,2928
35140,21269,20469,1160,3068,225,1853
60407,25952,23268,11988,6166,874,2103
55732,9282,9204,5560,15696,1590,4175
139663,25290,19912,33155,13829,8768,7275
89024,38069,31850,6275,9721,2108,2758
195380,42184,29052,30596,19104,8190,20160
85964,38174,18980,10437,4216,1878,2675
77650,29889,14500,8124,5772,1152,9218
72838,5164,3822,11042,6704,1830,1020
56957,24828,19084,7032,6180,350,2422
63036,24301,22880,9343,5682,1827,3585
35023,18761,17815,490,3605,0,1463
69105,16512,11738,6132,3607,670,2320
197701,46498,31330,37480,22320,11860,5040
42375,22407,21294,5149,2487,440,4046
116229,24381,11102,19799,15091,4823,10552
56726,25315,21865,11534,2496,560,3907
46308,22292,21420,5700,5359,420,4280
108508,49236,43576,8126,6982,682,2580
70144,14076,12480,8697,18240,2347,2718
136581,24978,22880,17770,19270,2300,3845
46037,17064,16094,5910,6116,715,2670
57814,17390,15756,9822,5832,899,3570
114242,24128,19630,25646,16900,3810,8935
104343,20140,15048,19801,12164,2558,3557
67417,21557,19812,8217,5722,1090,5172
